Código IBGE;Cidade;UF;Estado;Área Territorial - km2;População em 2021;População Urbana - Habitantes;População Rural - Habitantes;Sigla do Prestador de Serviço de Abastecimento de Água;Índice da População Total Atendida com Abastecimento de Água (%);População Total Atendida com Abastecimento de Água (habitantes);População Total Atendida com Esgotamento Sanitário (habitantes);Índice da População Total Atendida com Esgotamento Sanitário (%)
3555109;Tupi Paulista;SP;São Paulo;244,77;15.854;12.306;3.364;PMTP;98,84;15.670;15.670;98,84
3555208;Turiúba;SP;São Paulo;153,24;1.818;1.657;367;SABESP;70,74;1.286;1.276;70,19
3555307;Turmalina;SP;São Paulo;147,8;1.669;1.186;481;SABESP;76,87;1.283;1.247;74,72
3555356;Ubarana;SP;São Paulo;209,86;5.365;5.943;545;PMU;100;5.365;5.365;100
3555406;Ubatuba;SP;São Paulo;708,11;92.981;90.588;2.231;SABESP;76,19;70.846;38.810;41,74
3555505;Ubirajara;SP;São Paulo;282,18;5.132;3.521;1.307;SABESP;61,71;3.167;3.090;60,21
3555604;Uchoa;SP;São Paulo;252,43;10.394;9.470;721;PMU;96,85;10.067;10.067;96,85
3555703;União Paulista;SP;São Paulo;79,06;1.603;1.444;442;SABESP;82,41;1.321;1.312;81,85
3555802;Urânia;SP;São Paulo;209,26;8.833;7.679;1.446;SABESP;88,27;7.797;7.723;87,43
3555901;Uru;SP;São Paulo;146,9;1.387;987;155;SABESP;63,81;885;875;63,09
3556008;Urupês;SP;São Paulo;323,92;13.744;12.427;1.538;PMU;89,92;12.359;12.359;89,92
3556107;Valentim Gentil;SP;São Paulo;149,74;14.098;12.534;1.198;SABESP;90,66;12.781;12.765;90,54
3556206;Valinhos;SP;São Paulo;148,54;126.373;126.726;6.443;DAEV;93,49;118.145;112.505;89,03
3556305;Valparaíso;SP;São Paulo;857,66;24.241;25.823;1.331;DAEV;98,08;23.775;23.775;98,08
3556354;Vargem;SP;São Paulo;142,6;10.512;5.446;5.396;SABESP;42,13;4.429;3.297;31,36
3556404;Vargem Grande do Sul;SP;São Paulo;267,18;40.133;41.168;2.200;SAE;98,52;39.539;39.539;98,52
3556453;Vargem Grande Paulista;SP;São Paulo;42,49;50.415;54.315;;SABESP;96,93;48.865;23.163;45,94
3556503;Várzea Paulista;SP;São Paulo;35,12;115.771;124.269;;SABESP;87,31;101.081;98.938;85,46
3556602;Vera Cruz;SP;São Paulo;247,72;10.176;9.393;1.411;PMVC;83,23;8.469;8.469;83,23
3556701;Vinhedo;SP;São Paulo;81,6;76.540;78.954;2.562;SANEBAVI;97,1;74.323;68.921;90,05
3556800;Viradouro;SP;São Paulo;217,73;17.414;18.573;560;SAV;99,99;17.413;17.413;99,99
3556909;Vista Alegre do Alto;SP;São Paulo;95,43;8.109;8.452;711;PMVAA;97,72;7.924;7.924;97,72
3556958;Vitória Brasil;SP;São Paulo;49,83;1.794;1.530;322;SABESP;84,06;1.508;1.504;83,84
3557006;Votorantim;SP;São Paulo;183,52;127.923;119.721;4.747;CAV;96,29;123.176;122.400;95,68
3557105;Votuporanga;SP;São Paulo;420,7;96.634;93.413;2.693;SAEV;100;96.634;96.634;100
3557154;Zacarias;SP;São Paulo;319,06;2.692;2.189;595;SABESP;70,02;1.885;1.768;65,68
